start,stop
1620648893570250,1620648893571595
1620648893571511,1620648893572830
1620648893571599,1620648893572914
1620648893572831,1620648893574123
1620648893572916,1620648893574216
1620648893574124,1620648893575427
1620648893574217,1620648893575515
1620648893575428,1620648893576741
1620648893575517,1620648893576856
1620648893576742,1620648893578295
1620648893576857,1620648893578455
1620648893578297,1620648893580254
1620648893578457,1620648893580435
1620648893580262,1620648893581950
1620648893580440,1620648893582077
1620648893581953,1620648893583371
1620648893582079,1620648893583447
1620648893583373,1620648893584662
1620648893583448,1620648893584758
1620648893584663,1620648893585954
1620648893584759,1620648893586034
1620648893585955,1620648893587242
1620648893586035,1620648893587321
1620648893587242,1620648893588639
1620648893587322,1620648893588785
1620648893588641,1620648893590059
1620648893588787,1620648893590197
1620648893590060,1620648893591479
1620648893590198,1620648893591605
1620648893591480,1620648893592877
1620648893591606,1620648893593011
1620648893592878,1620648893594321
1620648893593012,1620648893594432
1620648893594323,1620648893595815
1620648893594434,1620648893595922
1620648893595817,1620648893597244
1620648893595923,1620648893597349
1620648893597246,1620648893598685
1620648893597351,1620648893598794
1620648893598687,1620648893600087
1620648893598796,1620648893600176
1620648893600088,1620648893601381
1620648893600178,1620648893601475
1620648893601382,1620648893602665
1620648893601476,1620648893602723
1620648893602666,1620648893603989
1620648893602724,1620648893604116
1620648893603990,1620648893605350
1620648893604118,1620648893605482
1620648893605351,1620648893606633
1620648893605484,1620648893606834
1620648893606634,1620648893607915
1620648893606835,1620648893608188
1620648893607916,1620648893609203
1620648893608189,1620648893609490
1620648893609203,1620648893610479
1620648893609491,1620648893610958
1620648893610480,1620648893612062
1620648893610960,1620648893612718
1620648893612063,1620648893614331
1620648893612721,1620648893614610
1620648893614338,1620648893616001
1620648893614614,1620648893616032
1620648893616004,1620648893617337
1620648893616034,1620648893617348
1620648893617338,1620648893618626
1620648893617349,1620648893618642
1620648893618627,1620648893619922
1620648893618643,1620648893619941
1620648893619926,1620648893621259
1620648893619942,1620648893621269
1620648893621260,1620648893622553
1620648893621270,1620648893622582
1620648893622554,1620648893623861
1620648893622583,1620648893623876
1620648893623862,1620648893625158
1620648893623878,1620648893625174
1620648893625159,1620648893626446
1620648893625175,1620648893626462
1620648893626447,1620648893627814
1620648893626463,1620648893627855
